"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL361497";"ARTESUNATE";".ALPHA.-ARTESUNIC ACID|ARTESUNATE|ARTESUNATUM|ARTESUNIC ACID|Arsumax|DIHYDROQINGHAOSU HEMISUCCINATE|LJPC-0118|NSC-712571|PLASMOTRIN|QINGHAOZHI|SAPHNATE|ZYSUNATE";"Small molecule";"4";"384.43";"90";"752";"2.60";"100.52";"7";"1";"0";"4";"N";"0.58";"3.77";"None";"3.10";"-0.17";"0";"MOL";"0";"27";"8";"1";"0";"384.1784";"ACID";"C19H28O8";"C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4";"FIHJKUPKCHIPAT-AHIGJZGOSA-N"
"CHEMBL43383";"";"";"Small molecule";"0";"463.63";"22";"73";"4.54";"68.78";"5";"1";"0";"9";"N";"0.55";"None";"10.33";"3.58";"0.62";"2";"MOL";"-1";"34";"7";"1";"0";"463.2947";"BASE";"C27H37N5O2";"CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1";"BCUGCHZRMKTPMU-UHFFFAOYSA-N"
"CHEMBL1373";"MODAFINIL";"CEP 1538|CEP-1538|CRC-40476|CRL 40476|CRL-40476|DEP-1538|MODAFINIL|MODAFINIL CIV|MODAPHONIL|MODIODAL|NSC-751178|NSC-759110|Provigil|THN-102 COMPONENT MODAFINIL|THN102 COMPONENT MODAFINIL";"Small molecule";"4";"273.36";"142";"849";"2.01";"60.16";"2";"1";"0";"5";"N";"0.91";"8.84";"None";"1.53";"1.52";"2";"MOL";"0";"19";"3";"2";"0";"273.0823";"NEUTRAL";"C15H15NO2S";"NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1";"YFGHCGITMMYXAQ-UHFFFAOYSA-N"
"CHEMBL375270";"";"GW-9662";"Small molecule";"0";"276.68";"60";"122";"3.50";"72.24";"3";"1";"0";"3";"N";"0.69";"13.48";"None";"3.61";"3.61";"2";"MOL";"-1";"19";"5";"1";"0";"276.0302";"NEUTRAL";"C13H9ClN2O3";"O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl";"DNTSIBUQMRRYIU-UHFFFAOYSA-N"
"CHEMBL120563";"THIRAM";"NSC-1771|NSC-49512|NSC-59637|NSC-622696|Rezifilm|SQ 1489|SQ-1489|THIRAM";"Small molecule";"0";"240.44";"172";"393";"2.06";"6.48";"4";"0";"0";"0";"N";"0.47";"None";"None";"2.73";"2.73";"0";"MOL";"0";"12";"2";"0";"0";"239.9883";"None";"C6H12N2S4";"CN(C)C(=S)SSC(=S)N(C)C";"KUAZQDVKQLNFPE-UHFFFAOYSA-N"
"CHEMBL3421914";"";"";"Small molecule";"0";"552.60";"3";"9";"5.69";"73.91";"5";"2";"2";"7";"N";"0.39";"12.12";"7.83";"5.20";"4.63";"3";"MOL";"-1";"40";"7";"2";"2";"552.2348";"NEUTRAL";"C30H31F3N4O3";"CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1";"AOZPVMOOEJAZGK-UHFFFAOYSA-N"
"CHEMBL1200787";"PHENOXYBENZAMINE HYDROCHLORIDE";"BENSYLYTE HYDROCHLORIDE|DIBENYLINE|DIBENZYLIN|DIBENZYLINE CHLORIDE|DIBENZYLINE HYDROCHLORIDE|DIBENZYRAN|Dibenzyline|NSC-37448|PHENOXYBENZAMINE CHLORIDE|PHENOXYBENZAMINE HCL|PHENOXYBENZAMINE HYDROCHLORIDE|Phenoxybenzamine chloride";"Small molecule";"4";"340.29";"65";"137";"4.19";"12.47";"2";"0";"0";"8";"N";"0.68";"None";"7.89";"4.64";"4.03";"2";"MOL";"0";"21";"2";"0";"0";"303.1390";"NEUTRAL";"C18H23Cl2NO";"CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl";"VBCPVIWPDJVHAN-UHFFFAOYSA-N"
"CHEMBL2105022";"INDELOXAZINE";"INDELOXAZINE";"Small molecule";"0";"231.29";"2";"4";"1.62";"30.49";"3";"1";"0";"3";"Y";"0.86";"None";"8.19";"2.02";"1.16";"1";"MOL";"0";"17";"3";"1";"0";"231.1259";"NEUTRAL";"C14H17NO2";"C1=Cc2cccc(OCC3CNCCO3)c2C1";"MADRVGBADLFHMO-UHFFFAOYSA-N"
"CHEMBL4577351";"";"";"";"0";"478.46";"2";"3";"6.02";"113.89";"5";"1";"1";"6";"N";"0.21";"4.09";"None";"5.03";"1.93";"4";"MOL";"-1";"36";"8";"1";"1";"478.1165";"ACID";"C28H18N2O6";"O=C(O)c1ccc(N2C(=O)/C(=C\c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1";"BBQRBOIMSKMFFO-PGMHBOJBSA-N"
"CHEMBL4303587";"";"";"Unknown";"0";"";"2";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";""
